zip_code,gallery_count,income,population
96717,0,84013,5148
96778,0,37417,15125
96795,0,86324,9988
96791,0,81212,7715
96792,0,64059,50127
96782,0,87651,38335
96720,0,59878,49405
96768,0,80463,18155
96707,0,100739,47958
96706,0,101147,72799
96734,0,101605,50386
96753,0,72050,27649
96815,0,61735,25268
96813,0,74355,25219
96701,0,95223,40439
96789,0,98499,53734
96793,0,81702,33074
96746,0,83434,19324
96740,0,76296,39694
96744,0,106174,51692
96786,0,62688,44271
96817,0,61384,56496
96797,0,90993,74262
96826,0,50400,31945
96822,0,73024,46645
96818,0,75917,59482
96819,0,80546,53886
96761,0,79071,23223
96732,0,81329,29668
96816,0,85164,49664
96766,0,78876,18272
96825,0,118571,29375
96821,0,134892,18539
96731,0,83068,2984
96814,0,63495,19527
96790,0,78664,9776
96743,0,88416,14496
96771,0,36487,7934
96749,0,54355,17484
96727,0,60707,5270
96705,0,79000,2869
96762,0,100341,6686
96703,0,59833,2087
96754,0,87179,3112
96776,0,45598,1302
96741,0,89844,6284
96783,0,41875,1645
96719,0,64958,1702
96777,0,50000,2061
96764,0,53553,592
96772,0,48125,2472
96755,0,67203,3010
96781,0,53179,1229
96708,0,86117,10243
96779,0,101014,2708
96716,0,74776,2982
96725,0,70906,2984
96738,0,73891,6728
96712,0,89241,7575
96704,0,52714,7871
96757,0,42917,580
96770,0,23125,597
96722,0,73242,2213
96737,0,16884,4926
96760,0,58992,2917
96796,0,64500,1952
96742,0,61875,75
96751,0,46019,69
96759,0,43649,360
96773,0,73750,59
96785,0,39784,3322
96765,0,72647,360
96714,0,39000,907
96769,0,43897,294
96729,0,41375,1191
96747,0,58182,874
96750,0,64159,3370
96756,0,70313,6206
96728,0,70119,453
96730,0,80625,1359
96763,0,53589,2826
96748,0,49896,4380
96752,0,78487,3572
96780,0,,700
96774,0,,181
96710,0,,246
96726,0,,480
96859,0,,111
96857,0,,2815
96860,0,,2203
96850,0,,0
96863,0,,46
96713,0,,1201
96853,0,,599
